sentence,our approach,Arora's approach,human annotation
Map (Associative Arrays) Operations.,,"MAP, Associative arrays",
"Called each period after all records have been emitted, this method does nothing.",,ALL,
"This can be a ""regular"" exception generated locally or a ProxyThrowable that is a representation of the original exception created on original 'remote' source.",,"SOURCE, ON, OR, proxythrowable, original exception, EXCEPTION",
"Even if an application is renewing tokens regularly, if an AM fails and is restarted, it gets restarted from that original ApplicationSubmissionContext.","<and, ANDs>","AND, original applicationsubmissioncontext, and, IT, IF, AM, APPLICATION","AM,"
"By default, the prefix of a line up to the first tab character is the key and the rest of the line (excluding the tab character) is the value.","<and, ANDs>, <REST, rest>","PREFIX, BY, first tab character, TO, REST, KEY, tab character, VALUE",
Configure ioengine as mmap:PATH_TO_FILE for this.,,"Configure ioengine, mmap",
Each task attempt is one particular instance of a Map or Reduce Task identified by its TaskID.,"<taskid, TaskID>","Reduce task, reduce task, BY, task attempt, Task attempt, taskid, one particular instance, MAP","Reduce Task,TaskID,"
The maximum number of threads any replication source will use for shipping edits to the sinks in parallel.,"<Replication source, replication sources, replication source>","USE, TO, maximum number, Maximum number, replication source, Replication source","replication source,"
"Skip to end of metadata Created by Lars Francke, last modified on Apr 12, 2016.",,"ON, METADATA, BY, SKIP, END",
Show the table partitions.,"<SHOW, show>, <Tablename, TABLE, table, tablename>","SHOW, TABLE",table partitions
Exit a parse tree produced by HplsqlParser.return_stmt().,,"parse tree, EXIT, BY","parse tree,"
Visit a parse tree produced by HplsqlParser.index_mssql_storage_clause().,,"parse tree, BY","parse tree,"
"The token cache is the only user of the canonical service name, and uses it to lookup this FileSystem's service tokens.","<Token cache, token cache>, <and, ANDs>, <filesystem, Filesystem>","ONLY, filesystem, AND, and, token cache, canonical service name, IT","token cache,FileSystem's service token,"
"Credentials are also needed to run any of those tests, they can be copied from auth-keys.xml or through direct XInclude inclusion.",,"direct XInclude inclusion, TO, TESTS, OR","credential,"
Any other pruner can reuse it by creating a class extending from PrunerOperatorFactory.,,"other, IT, pruneroperatorfactory","pruner,"
"""Source"" is a little loose term here in the sense it can range from being an HDFS url location pointing to the schema or it can be even as simple as a properties file with a simple key-value mapping to the schema.","<hdf, HDFS, hdfs, hadoop distributed file system, Hadoop Distributed File System>","SOURCE, SCHEMA, TO, simple key - value mapping, RANGE, AS, HDFS url location, little loose term, IT, properties file","schema,HDFS,"
External tables will be created with format specified by hive.default.fileformat.,,"FORMAT, BY, External tables","external table,"
"You can configure a different ratio for use in off-peak hours, using the parameter hbase.hstore.compaction.ratio.offpeak, if you also configure hbase.offpeak.start.hour and hbase.offpeak.end.hour.","<and, ANDs>","USE, AND, different ratio, and, USING, IF",
The file name & location needs to be finalized.,,"TO, LOCATION, file name",
The thread pool always has at least these number of threads so the REST server is ready to serve incoming requests.,"<REST server, rest server>","least these number, Thread pool, Rest server, REST server, READY, thread pool","thread pool,REST server"
Built by Maven Dapper-like Tracing in Hadoop SpanReceivers Starting tracing spans by HTrace API Starting tracing spans by FileSystem Shell Dapper-like Tracing in Hadoop.,"<filesystem, Filesystem>, <Hadooop, Hadoop, hadoop, hadooop>","Hadoop spanreceivers, hadoop, BY, api, API, HADOOP, LIKE","Maven Dapper-like Tracing,HTrace API,FileSystem Shell,Hadoop."
"The CREATE part of the CTAS takes the resulting schema from the SELECT part and creates the target table with other table properties such as the SerDe and storage format.Starting with Hive 3.2.0, CTAS statements can define a partitioning specification for the target table (HIVE-20241).CTAS has these restrictions:The target table cannot be an external table.The target table cannot be a list bucketing table.Example: CREATE TABLE new_key_value_store ROW FORMAT SERDE ""org.apache.hadoop.hive.serde2.columnar.ColumnarSerDe"" STORED AS RCFile SELECT (key % 1024) new_key, concat(key, value) key_value_pair SORT BY new_key, key_value_pair; The above CTAS statement creates the target table new_key_value_store with the schema (new_key DOUBLE, key_value_pair STRING) derived from the results of the SELECT statement.","<create table, creating Table, creating table, Create table, Create Table>, <Tablename, TABLE, table, tablename>, <list, LIST>, <CTAS, cta>, <row format, Row Format>, <Serde, SERDE, serde>, <and, ANDs>, <storage formats, Storage Formats, Storage formats, storage format>, <table property, table propertie, table properties, Table Properties, table Properties>, <external table>","resulting schema, CREATE table, List Bucketing table, AS, SORT, EXTERNAL table, create table, HIVE, CREATE part, SELECT, ctas, KEY, STRING, VALUE, partitioning specification, SCHEMA, CTAS, DOUBLE, STORED as, CTAS statement, select statement, ROW FORMAT serde, SELECT statement, Select statement, list bucketing table, External table, SerDe and storage format, Create table, other, target table, external table, SELECT part","CTAS,table,SerDe,storage format,Hive,CTAS statement,external table,target table,list bucketing table"
Row 8 to Row 14 They were computed by a 7600-task-capacity cluster.,<capacity cluster>,"TO, 7600-task - capacity cluster, ROW, BY","cluster,"
Error: S3Guard table lacks version marker.,"<Tablename, TABLE, table, tablename>","s3guard table, version marker, S3Guard table, ERROR","table,version marker,"
Move the region r to dest.,,"TO, REGION",
"For the purposes of unit tests, we want to test login from keytab and don't want to wait until the renew window (controlled by TICKET_RENEW_WINDOW).","<and, ANDs>, <login, logins>","renew window, Unit tests, keytab, BY, TO, login",
Return the name of the trigger.,,"NAME, TRIGGER","trigger,"
Third party tools can use this interface to integrate Hive metadata into other business metadata repositories.Hive Query Language.HiveQL is an SQL-like query language for Hive.,,"METADATA, SQL - like query language, HIVE, Hive query language, USE, third party, hiveql, INTERFACE, other, Hive metadata, Hive Query language","Hive metadata,Hive Query Language,HiveQL,Hive,"
JSON implementation of AddPartitionMessage.,,json implementation of addpartitionmessage,
Deploying a New MapReduce Version via the Distributed Cache.,"<mapreduce, mapred, Mapreduce>","Distributed cache, distributed cache, New MapReduce version, new MapReduce version","MapReduce,Distributed Cache."
dfs.client.test.drop.namenode.response.number 0 The number of Namenode responses dropped by DFSClient for each RPC call.,"<RPC call, rpc call>, <namenode, Namenode>","BY, namenode, rpc call, NUMBER, RPC call, Rpc call","namenode,RPC call,"
"The ParquetStringInspector inspects a BytesWritable, TimestampWritableV2, HiveDecimalWritable, DoubleWritable, FloatWritable, LongWritable, IntWritable, and BooleanWritable to give a Text or String.","<and, ANDs>","parquetstringinspector, AND, TO, floatwritable, timestampwritablev2, STRING, and, intwritable, longwritable, TEXT, byteswritable, doublewritable",
"Resets internal state to same as given tracker, and change the deleted flag according to the modified flag if resetDelete is true.","<and, ANDs>","AND, TO, deleted flag, Resets internal state, AS, and, modified flag, TRUE",
across point versions: e.g.,,VERSIONS,
"To do this, the framework relies on the processed record counter.",,"TO, ON, processed record counter",
Container terminated because of exceeding allocated virtual memory.,<virtual memory>,"allocated virtual memory, TERMINATED","virtual memory,"
Provides functionality for reading typed bytes.,"<Typed bytes, typed byte, typed bytes>",BYTES,typed bytes
"Get the capacity, which is the maximum count that could handled without resizing the backing storage.",<maximum count>,"GET, backing storage, maximum count","backing storage,"
dfs.client.socketcache.capacity 16 Socket cache capacity (in entries) for short-circuit reads.,<cache capacity>,"short - circuit, Short - circuit, socket cache","Socket cache capacity,short-circuit read,"
Backup System table name for bulk loaded files.,"<System table, system table>","Backup System table name, FILES",system table
"In the absence of histograms, we can use the following general case 2 Relations, 1 attribute T(RXS) = (T(R)*T(S))/max(V(R,Y), V(S,Y)) where Y is the join attribute 2 Relations, 2 attributes T(RXS) = T(R)*T(S)/max(V(R,y1), V(S,y1)) * max(V(R,y2), V(S,y2)), where y1 and y2 are the join attributes 3 Relations, 1 attributes T(RXSXQ) = T(R)*T(S)*T(Q)/top2largest(V(R,y), V(S,y), V(Q,y)), where y is the join attribute 3 Relations, 2 attributes T(RXSXQ) = T(R)*T(S)*T(Q)/top2largest(V(R,y1), V(S,y1), V(Q,y1)) * top2largest(V(R,y2), V(S,y2), V(Q,y2)), where y1 and y2 are the join attributes Worst case: If no column statistics are available, then T(RXS) = joinFactor * max(T(R), T(S)) * (numParents - 1) will be used as heuristics.","<and, ANDs>, <column statistic, column statistics, Column Statistics, Column statistics>","Column statistics, USE, worst case, Worst case, AS, y2, y1, JOIN, joinfactor, following general case, IF",column statistics
The reader who reads from the underlying boolean value value.,,underlying boolean value value,
The Metastore connects to an external RDBMS via JDBC.,"<rdbms, rdbm, RDBMSs, RDBMS>","TO, JDBC, jdbc, external rdbms, metastore","metastore,RDBMS,JDBC"
Allocating an extra of 1 - 2 GB for the max direct memory size has worked in tests.,"<memory sizes, memory size, memory siz>","GB, TESTS, max direct memory size","direct memory,"
Specify the number of backup sessions to display with the optional -n argument.,,"TO, NUMBER, optional -n argument","backup session,"
Hive will use the first one from the list by default but will pick a random one on connection failure and will try to reconnect.Additional Configuration Parameters.The following metastore configuration parameters were carried over from old documentation without a guarantee that they all still exist.,"<and, ANDs>, <list, LIST>","LIST, HIVE, USE, TO, first one, ALL, FOLLOWING, DEFAULT, Additional Configuration parameters, Configuration parameters, connection failure, old documentation, random one","Hive,metastore,"
Return the value of this IntWritable.,,"intwritable, VALUE",
It is used with the GROUP BY only.,,"IT, Group by",
You will need to pass 3 parameters to this application.,,"TO, APPLICATION",
....can do other initializations here since lock is 'asynchronous'...,,"other, LOCK",
The start of the checkpoint process on the Checkpoint node is controlled by two configuration parameters.,,"checkpoint process, BY, checkpoint node, Configuration parameters, Checkpoint node","checkpoint node,"
Writes a vector header.,<vector header>,vector header,
"If not set, the Configuration setting HConstants.HBASE_CLIENT_SCANNER_CACHING will apply.",,"SET, IF, configuration setting",
"Skip to end of metadata Created by Confluence Administrator, last modified by Lefty Leverenz on Sep 19, 2017.",,"ON, METADATA, BY, SKIP, END","metadata,"
"Check if the entire procedure has globally completed, or has been aborted.",,"ABORTED, OR, COMPLETED, CHECK, entire procedure",
To set an environment variable in a streaming command use: -cmdenv EXAMPLE_DIR=/home/example/dictionaries/ Generic Command Options.,,"TO, environment variable, streaming command use, OPTIONS",
Note that sometimes tests fail for reasons unrelated to the patch.Patches with nonconforming names are ignored by Hive QA.,"<QA, qa>","PATCH, QA, BY, TESTS, NOTE, TO","Hive,"
"On the export end, it tags the replication export dump with an id that is monotonically increasing on the source warehouse (incrementing each time there is a source warehouse metastore modification).",,"ON, TIME, export end, source warehouse, source warehouse metastore modification, IT, replication export dump",source warehouse
"Usage in Reducer: <K, V> String generateFileName(K k, V v) { return k.toString() + ""_"" + v.toString(); } public class MOReduce extends Reducer<WritableComparable, Writable,WritableComparable, Writable> { private MultipleOutputs mos; public void setup(Context context) { ...","<writable, writables, Writables>","public class, writable, public void, REDUCER, PRIVATE, WRITABLE, STRING, Public class, writablecomparable",
Sorting within each partition for the reducer(all 4 fields used for sorting).,,PARTITION,"partition,reducer,"
Relative to write speed of HDFS.,"<hdf, HDFS, hdfs, hadoop distributed file system, Hadoop Distributed File System>","TO, speed of hdfs","HDFS,write speed,"
Should speculative execution be used for this job?,,"speculative execution, Speculative execution","job,cluster,"
container SUCCEEDED 1 1 0 0 0 0 Map 2 ..........,,"SUCCEEDED, MAP",
"CPU is saved because the first time the StorageDescriptor column names are accessed, JDO needs to execute a SQL query to retrieve the data.","<datum, Datanode, DATA, datanode, Datanodes, datanodes>, <jdoql, JDOQL, JDO, jdo>, <cpu, CPU>, <columns names, column name, column names, Column names, columns name, Column Names>","CPU, TO, SQL query, DATA, first time, storagedescriptor, sql query, JDO, jdo","CPU,JDO,SQL query,"
Do conditional execution of the THEN/ vector expression and regular execution of the ELSE vector expression (a column or scalar) of a SQL IF statement.,"<and, ANDs>","ELSE vector expression, conditional execution, COLUMN, vector expression, SQL IF statement, regular execution","conditional execution,"
"delimited strings, // binary encoded, etc.",,"BINARY, DELIMITED",
"Once done, update the Hive website as described in the Documentation section below.Review.Hive committers should, as often as possible, attempt to review patches submitted by others.","<Committer, committers, Committers, committer>","BY, documentation section, TO, Hive committers, DONE, UPDATE, Documentation section, AS, Hive website",Hive
ACL to administer the queue.,"<acls, Acl, Acls, ACL, ACLS, ACLs, acl>","acl, ACL","ACL,"
Column Metadata 32.,"<Column Metadata, column metadata>","column metadata, Column metadata","Column Metadata,"
"In this case, since HCatRecord is directly already the Writable object, there's no extra work to be done here.","<writable, writables, Writables>","hcatrecord, extra work, CASE, Writable object, DIRECTLY, DONE, writable object",
yarn.nodemanager.default-container-executor.log-dirs.permissions 710 Whether to enable log aggregation.,,"Log aggregation, TO, log aggregation",
Adding partitions more often leads quickly to an overwhelming number of partitions in the table.,"<Tablename, TABLE, table, tablename>, <overwhelming number>","TO, TABLE, overwhelming number, PARTITIONS","partition,table,"
Last chance to veto row based on previous Filter.filterCell(Cell) calls.,,"Last chance, ON, ROW",
"The inner query could also have been written as such: Schema-less map/reduce: If there is no ""AS"" clause after ""USING map_script"", Hive assumes the output of the script contains 2 parts: key which is before the first tab, and value which is the rest after the first tab.","<and, ANDs>, <REST, rest>","USING, SCHEMA, HIVE, inner query, REST, AND, AS, KEY, and, REDUCE, OUTPUT, MAP, IF, first tab","Hive,"
Would there be any significant performance advantages to be able to paginate via gets vs paginating with scans?,,"PERFORMANCE, TO",
Makes the retries and time between retries getting the length of the last block on file configurable.,"<and, ANDs>","FILE, last block, and, AND",
Most filters always return true here.,,"FILTERS, TRUE",
For subclasses in case they want to do fixup post hbase:meta.,"<HBASE, Hbase, hbase>, <META, meta, metainfo>","TO, CASE, META, meta, fixup post hbase",
Called after a snapshot restore operation has been requested.,,snapshot restore operation,"snapshot restore operation,"
In order to provide these features on top of HDFS we have followed the standard approach used in other data warehousing tools.,"<datum, Datanode, DATA, datanode, Datanodes, datanodes>, <ORDER, order>, <hdf, HDFS, hdfs, hadoop distributed file system, Hadoop Distributed File System>","ORDER, FEATURES, top of hdfs, other, standard approach","HDFS,data warehousing tool,"
Misc utilities used in this package.,,PACKAGE,
{0} is a special string used to denote where the username fits into the filter.,,"special string, TO, FILTER, username, INTO",
"Similarly, protobuf definitions for internal use are located in the hbase-protocol-shaded module.","<HBASE, Hbase, hbase>, <protobuf, protobufs, Protobuf, Protobufs>","protobuf, hbase - protocol - shaded module, internal use, Internal use","protobuf,"
Storing Snapshots in Microsoft Azure Blob Storage 138.,,"Storing snapshots, Microsoft Azure Blob storage","Microsoft Azure Blob Storage,"
"The resulting TTransportFactory can be passed as both the input and output transport factory when instantiating a TThreadPoolServer, for example.","<and, ANDs>","resulting ttransportfactory, AS, input and output transport factory, tthreadpoolserver",
yarn.scheduler.minimum-allocation-mb 1024 The maximum allocation for every container request at the RM in MBs.,"<rm, reserved memory, RMs, RM, Rm>, <Container request, container request>","RM, rm, maximum allocation, every container request","container request,RM,MB,"
"The tool operates on files only, it does not need Hadoop cluster to be running.","<Hadooop, Hadoop, hadoop, hadooop>","RUNNING, ON, ONLY, Hadoop cluster, IT, hadoop cluster","Hadoop cluster,"
Change this to the absolute path to kinit if this is not the case.,<kinit>,"kinit, TO, CASE, absolute path, Absolute path, CHANGE",kinit
ACID tables that have data inserted into them can still be queried using vectorization.Inserting values into tables from SQL.The INSERT...VALUES statement can be used to insert data into tables directly from SQL.Version Information.,"<datum, Datanode, DATA, datanode, Datanodes, datanodes>, <acid, ACID>","VALUES, ACID, TABLES, TO, VALUES statement, INFORMATION, INTO, DATA, USING, INSERT","SQL,ACID,"
This method needs to be called before any public call that reads or modifies stores in bulk.,,"TO, OR, public call",
Get the Finish time of the container.,"<Finish time, finish time>","GET, Finish time, finish time","container,Finish time"
"The data files are shared between the primary region and the other replicas, so that there is no extra storage overhead.","<datum, Datanode, DATA, datanode, Datanodes, datanodes>, <storage overhead>, <and, ANDs>","extra storage, other, DATA, primary region","primary region, storage overhead"
Returns the scope of the ACL entry.,"<acls, Acl, Acls, ACL, ACLS, ACLs, acl>","ACL entry, SCOPE","ACL,"
"Generally, use ""lzo"" as the starting point for experimenting.","<Lzo, LZO, lzo>","LZO, USE, lzo, starting point, AS",
A number of internal dependencies for HBase were updated or removed from the runtime classpath.,"<HBASE, Hbase, hbase>, <classpaths, classpath>","hbase, internal, HBASE, OR, INTERNAL, runtime classpath, NUMBER","Hbase,runtime classpath"
Apache HiveApache HiveChild pages.LanguageManual.Configuration Properties.Browse pagesConfigureSpace tools Skip to end of banner Jira links.,"<Jira, JIRAs, JIRAS, jiras, Jiras, jira, JIRA>","Apache HiveApache hivechild, Configuration properties, jira, JIRA, pagesConfigureSpace tools skip, END, languagemanual","Jira,"
Fix multiple assignment by doing silent closes on each RS hosting the region and then force ZK unassigned node to OFFLINE to trigger assignment by master.,"<and, ANDs>, <ZK, zk, Zk>","ON, BY, ZK unassigned node, multiple assignment, TRIGGER, offline, RS, OFFLINE, REGION","RS,ZK,"
The later is refered as a multi named output.,,"OUTPUT, AS, multi",
"HFile is a low-level file format by design, and it should not deal with application-specific details such as Bloom filters, which are handled at StoreFile level.","<and, ANDs>, <hfiles, hfile>, <Bloom filters, bloom filters, Bloom Filters, Bloom filter, bloom filter, Bloom Filter>","AND, low - level file format, APPLICATION, AS, and, FILTERS, StoreFile level, hfile","Hfile,low-level file format,Bloom filter"
Get an existing timer or create a new one if the requested one does not yet exist.,,"existing timer, GET, new one, requested one, CREATE",
Private interfaces are not always unstable.,,PRIVATE,
This constructor exists primarily for AccessControlList to be Writable.,"<writable, writables, Writables>","accesscontrollist, writable, WRITABLE, EXISTS",Writable
"it's more reasonable, because ReturnCode is a concept in store level, not in region level.",<store level>,"IT, store level, returncode, region level","store level,region level,"
Note that this is a Map/Reduce job that creates the archives.,,"NOTE, Reduce job, MAP",Map/Reduce job£»
Run yarn cluster --list-node-labels to check added node labels are visible in the cluster.,"<YARN cluster, yarn cluster>","YARN cluster, TO, CLUSTER, Node labels","yarn cluster,node label,cluster,"
Break up the responsibility of the old AbstractTableFunction class into a Resolver and Evaluator.,"<resolvers, resolver>","resolver, BREAK, old AbstractTableFunction class","Resolver,Evaluator,"
Compares this split against the given one.,,"given one, SPLIT",
Whether the current host is a Windows machine.,,"Windows machine, current host",
In order to not block them during a too long duration we stop releasing lease after this max lock limit.,"<ORDER, order>, <lock limit>","ORDER, BLOCK, long duration, max lock limit","max lock limit,"
This is needed for credentials that would result in a recursive dependency on accessing HDFS.,"<hdf, HDFS, hdfs, hadoop distributed file system, Hadoop Distributed File System>","recursive dependency, HDFS, hdfs, RESULT","credential,HDFS."
This parameter controls the generalization of the Linear Programming model.,,Linear Programming model,"Linear Programming model,"
Changed public class org.apache.hadoop.mapreduce.ID to be an abstract class.,,"abstract class, TO, Changed public class, Abstract class",
It is expected to be much greater than yarn.nm.liveness-monitor.expiry-interval-ms and yarn.resourcemanager.rm.container-allocation.expiry-interval-ms.,"<and, ANDs>","AND, TO, IT, and",
String wrapper to support SQL VARCHAR features.,,"SUPPORT, VARCHAR, String wrapper, varchar",
Get the znodePaths.,,GET,
modulelist to provide a comma delimited list of module tests to execute in addition to the ones that are automatically detected.,"<list, LIST>","MODULE, TO, comma delimited list",
Making coarse assertions on the entire contents of a table is brittle and has a high maintenance requirement.,"<Tablename, TABLE, table, tablename>,<and, ANDs>","AND, high maintenance requirement, TABLE",","
"However, the normative specification of the behavior of this class is actually HDFS: if HDFS does not behave the way these Javadocs or the specification in the Hadoop documentations define, assume that the documentation is incorrect.","<Javadocs, javadocs, javadoc>, <Hadooop, Hadoop, hadoop, hadooop>, <hdf, HDFS, hdfs, hadoop distributed file system, Hadoop Distributed File System>","hadoop, hdfs, javadocs, HDFS, normative specification, BEHAVIOR, HADOOP, IF","HDFS,Hadoop,Javadocs"
"In that case, mapreduce.application.classpath would be configured to something like the following example, where the archive basename is hadoop-mapreduce-2.9.2.tar.gz and the archive is organized internally similar to the standard Hadoop distribution archive: $HADOOP_CONF_DIR,$PWD/hadoop-mapreduce-2.9.2.tar.gz/hadoop-mapreduce-2.9.2/share/hadoop/mapreduce/*,$PWD/hadoop-mapreduce-2.9.2.tar.gz/hadoop-mapreduce-2.9.2/share/hadoop/mapreduce/lib/*,$PWD/hadoop-mapreduce-2.9.2.tar.gz/hadoop-mapreduce-2.9.2/share/hadoop/common/*,$PWD/hadoop-mapreduce-2.9.2.tar.gz/hadoop-mapreduce-2.9.2/share/hadoop/common/lib/*,$PWD/hadoop-mapreduce-2.9.2.tar.gz/hadoop-mapreduce-2.9.2/share/hadoop/yarn/*,$PWD/hadoop-mapreduce-2.9.2.tar.gz/hadoop-mapreduce-2.9.2/share/hadoop/yarn/lib/*,$PWD/hadoop-mapreduce-2.9.2.tar.gz/hadoop-mapreduce-2.9.2/share/hadoop/hdfs/*,$PWD/hadoop-mapreduce-2.9.2.tar.gz/hadoop-mapreduce-2.9.2/share/hadoop/hdfs/lib/*.","<mapreduce, mapred, Mapreduce>, <yarn, YARN>, <hdf, HDFS, hdfs, hadoop distributed file system, Hadoop Distributed File System>, <and, ANDs>, <Hadooop, Hadoop, hadoop, hadooop>","hadoop, YARN, COMMON, archive basename, hdfs, TO, CASE, following example, AND, ARCHIVE, HDFS, mapreduce, and, HADOOP, MAPREDUCE, standard Hadoop distribution archive, LIKE","standard Hadoop distribution archive,"
Contains utilities methods used as part of Spark tasks.,,"AS, Spark tasks","Spark,"
"In order to support some old SSL clients, the default encryption ciphers include a few relatively weaker ciphers.","<ORDER, order>","ORDER, INCLUDE, SUPPORT, DEFAULT, SSL, ssl","encryption cipher,SSL client,"
"Fixed a bug in the new org.apache.hadoop.mapreduce.Counters.getGroup() method to return an empty group if group name doesn't exist, instead of null, thus making sure that it is in sync with the Javadoc.","<null, NULL>, <Javadocs, javadocs, javadoc>","Fixed a bug, TO, NEW, javadoc, empty group, group name, IT, NULL",
Add a default resource.,,"default resource, ADD",
"Directory structure looks like: /user/hive/warehouse/t1/dt=something/data.txt /user/hive/warehouse/t2/dt=something/x=a/data.txt /user/hive/warehouse/t2/dt=something/x=b/data.txt /user/hive/warehouse/t2/dt=something/default/data.txt ""stored as directories"" tells hive to create sub-directories.",,"HIVE, STORED as, something, DEFAULT, DIRECTORIES, directory structure, CREATE, Directory structure, LIKE",
"On catching a Throwable, Mapper/Reducer tries to inform the TT.",,"ON, TT, TO, REDUCER, throwable","Mapper/Reducer,TT"
Logger information to be logged at the end.,,"END, Logger information",
See the Getting Started section on ulimit and nproc configuration and check your network.,"<and, ANDs>, <nproc>, <Ulimit, ulimit>","CHECK, CONFIGURATION, ulimit, Getting Started section","ulimit,nproc"
Create a snapshot file cache for all snapshots under the specified [root]/.snapshot on the filesystem.,"<snapshot files, snapshot file>, <filesystem, Filesystem>","ON, snapshot file cache, filesystem, ALL, CREATE","snapshot file,filesystem,"
"CREATE|APPEND - to create a file if it does not exist, else append to an existing file.",,"ELSE, FILE, TO, Existing file, existing file, IT",
A header bit of '0' indicates this byte contains the last of the payload.,"<BYTES, byte>","BYTE, header bit",payload
In this example: ?/tmp/backup_incremental is the path to the directory containing the backup image.,,"backup image, Backup image, DIRECTORY, PATH",
"Calling Table.coprocessorService(Class, byte[], byte[], org.apache.hadoop.hbase.client.coprocessor.Batch.Call) will take care of invoking Batch.Call.call() against our anonymous class with the RowCountService instance for each table region.","<Tablename, TABLE, table, tablename>, <BYTES, byte>","RowCountService instance, table region, BYTE, anonymous class",table region
Setter for Column schemas.,,COLUMN,"column schema,"
This can be used to auto-generate account names with the correct realm for the system accounts hence aid having valid constants.,,"SYSTEM, TO, VALID, correct realm, hence aid",
The collectors (writers) are currently embedded in the node managers as auxiliary services.,,Node managers,"node manager,collector,writer,"
To help debug this or confirm this is happening GC logging can be turned on in the Java virtual machine.,,"ON, OR, DEBUG, GC logging, TO, Java virtual machine",
See this blog post for more details.,,blog post,
"Skip to end of metadata Created by Charles Chen, last modified by Lefty Leverenz on Dec 09, 2013.",,"ON, METADATA, BY, SKIP, END","metadata,"
"While not unheard of, these kinds of errors are exceedingly rare on modern hardware which is operating as it should: $ /sbin/ifconfig bond0 bond0 Link encap:Ethernet HWaddr 00:00:00:00:00:00 UP BROADCAST RUNNING MASTER MULTICAST MTU:1500 Metric:1 RX packets:2990700159 errors:12 dropped:0 overruns:1 frame:6 <--- Look Here!",,"ON, LINK, MASTER, AS, Ethernet hwaddr, BROADCAST",
"However, queries with some of the clustering keys specified:select ...",,"SELECT, KEYS",
Set the value of the name property to a boolean.,,"name property, SET, boolean, BOOLEAN, VALUE",
Visit a parse tree produced by HplsqlParser.for_range_stmt().,,"parse tree, BY",
Set the primary filter map to the given map of primary filters.,"<primary filters, Primary filter, primary filter, Primary filters, Primary Filter>","given map, PRIMARY, primary filter map, SET","primary filter,"
4.5 If partition-pruner-bigtable-candidate set is empty then bail out.,"<bigtable, Bigtable>","EMPTY, IF, bigtable, SET",
"This is just an example, developers could choose not to use TableOutputFormat and connect to the target table themselves.","<and, ANDs>, <Tablename, TABLE, table, tablename>","TO, tableoutputformat, target table",
"Typically this is just the hostname, using the port is needed when using minicluster and specific NM are required.","<and, ANDs>","WHEN, hostname, minicluster, PORT, specific nm, HOSTNAME, USING","hostname,NM,"
"Integration tests SHOULD NOT assume that they are running against a mini cluster, and SHOULD NOT use private API's to access cluster state.","<and, ANDs>, <cluster state>","RUNNING, cluster state, Integration tests, USE, AND, TO, api, API, and, mini cluster","mini cluster,cluster state,"
Are both teams charged for it?,,IT,
You do not need to re-create the table or copy data.,"<datum, Datanode, DATA, datanode, Datanodes, datanodes>, <Tablename, TABLE, table, tablename>","TO, TABLE, CREATE, COPY","table,"
There are a couple of choices on how S3 can be used: Data can be either stored as files within S3 using tools like aws and s3curl as detailed in S3 for n00bs section.,"<datum, Datanode, DATA, datanode, Datanodes, datanodes>, <amazon web service, AWS, aw, Amazon Web Services, aws>, <S3, s3>","ON, STORED as, s3, AND, AS, DATA, and, LIKE, n00bs section","S3,aws,"
"The behavior of INSERT OVERWRITE is not affected by the ""immutable"" table property.An immutable table is protected against accidental updates due to a script loading data into it being run multiple times by mistake.","<datum, Datanode, DATA, datanode, Datanodes, datanodes>, <table property, table propertie, table properties, Table Properties, table Properties>, <immutable table>","Loading data, BY, Table property, TO, behavior of insert overwrite, immutable table, table property, IT","immutable table,table property"
Getter for the name of the table being insert into.,"<Tablename, TABLE, table, tablename>","INSERT into, NAME, getter, TABLE","table,"
The following setting enables this behavior.,,"BEHAVIOR, following setting",
Defaults to 30 mins.,,TO,
This method may be used to iterate over the constants as follows: for (ExplainConfiguration.VectorizationDetailLevel c : ExplainConfiguration.VectorizationDetailLevel.values()) System.out.println(c);.,,"TO, AS, explainconfiguration",
If an insert causes a partition to be added it will cause MetaStoreEventListener.onAddPartition(org.apache.hadoop.hive.metastore.events.AddPartitionEvent) to be called instead.,,"PARTITION, TO, IT, IF, INSERT","partition,"
"If the app requested a queue name starting or ending with period, i.e.","<Queue name, queue name>, <appID, app, appid, Apps, apps>","APP, OR, Queue name, queue name, app, IF",queue name
Users can pass {{CreateFlag.APPEND}} and {{CreateFlag.NEW_BLOCK}} to the {{append}} API to indicate this requirement.,"<and, ANDs>","AND, TO, api, API, createflag, and, APPEND",
This is an EXPENSIVE clone.,,EXPENSIVE clone,
This should not be used by any clients.,,BY,
__CODE__ Thrift API and Filter Language.,"<and, ANDs>","CODE, filter language, Thrift api, Filter language","Thrift API,Filter Language,"
This class is responsible to manage all the replication sources.,"<Replication source, replication sources, replication source>","TO, REPLICATION, ALL","replication source,"
Below is the elements of a single event object.,,single event object,
"Moreover, unless fairness or capacity constraints are violated, containers are guaranteed to run to completion without being preempted.",,"TO, GUARANTEED, OR",containers
See Backup Sets for more information about peforming operations on collections of tables.,,"ON, SETS, INFORMATION, TABLES",
"By setting this configure, logs can be uploaded periodically when the application is running.",,"APPLICATION, RUNNING, BY, WHEN",
At the end of the restore operation this snapshot will be deleted.,,"SNAPSHOT, Restore operation, END, restore operation","restore operation,snapshot,"
Users can specifies a new topology by setting this parameter.,,new topology,
Create an FSDataOutputStream at the specified path.,,"CREATE, specified path, fsdataoutputstream",
Action after disabling table.,"<disabled table, disabling table>","ACTION, TABLE","table,"
