sentence,ours,tse,expert1,expert2,arbitration
param lossFunction Loss function to use.,"<loss function, Loss functions, loss functions, Loss function, Loss Function, Loss Functions>, <Parametrized, parametrized, param>","param lossFunction Loss function, USE",loss function,loss function,loss function
The features are contained in a single csv file with the columns representing the features and the rows representing different time steps.,"<time step, time steps, Time step>","single csv file, AND, different time",,feature;time step,feature;time step
Args: model: A GANModel tuple.,,"GANModel tuple, args",,,
Custom C++ and CUDA Extensions.,"<cuda, Cuda, CUDA>","AND, CUSTOM",C++ and CUDA Extension,"C++, CUDA",CUDA
For example: Sharing variables.,,VARIABLES,,,
"If the user provided argument equals this value, the warning is suppressed.",,"WARNING, THIS, provided argument",,,
autofunction:: lt ..,"<lt, LTS>","lt, autofunction",,,
"Args: inplace (bool, optional): can optionally do the operation in-place.","<bool, bools, Bool>, <inp, inplace>","args, bool, INPLACE, BOOL, inplace",,,
"element_dtype: tf.DType, optional dtypedtype for the elements in the list.","<dtypes, dtype>, <tensor filter, Tf, tf, TF>","optional dtypedtype, tf, dtype, TF",,,
Get DL4J Cropping3D layer.,"<Cropping3D, cropping3d>",DL4J Cropping3D layer,DL4J Cropping3D layer,Cropping3D layer,Cropping3D layer;
Native audio file loader using FFmpeg.,<ffmpeg>,"ffmpeg, Native audio file loader, FFMPEG",FFmpeg,FFmpeg,Ffmpeg
"Merge the properties of ""dev"" into this DeviceSpec.",,"MERGE, THIS, dev",DeviceSpec,,
"When layers are stacked together, they represent a deep neural network.","<deep neural network, DNN, Deep Neural Networks, deep neural networks, dnn>","Deep Neural network, deep neural network",layer;deep neural network,deep neural network,deep neural network
"Create a matrix from the given PLEASE NOTE: This method is special for GPU backend, it works on HOST side only.","<GPUS, Gpu, GPUs, gpus, gpu, GPU>, <backend, backends, Backend, Backends>","SPECIAL, HOST side, host side, GPU backend, PLEASE note, THIS, IT",matrix,GPU,matrix;GPU
May skip attributes with defaults if you don't want to override the default value.,,"SKIP, default value, Default value",,,
NOTE Please see the initializer documentation for details of how BeamSearchDecoder.,,"NOTE, initializer documentation, beamsearchdecoder",,,
"Sum of the values in a tensor, alongside the specified axis.","<sum, SUM, summand>","SUM, VALUES, specified axis",,tensor,tensor
Represent a lookup table that persists across different steps.,,"Lookup table, lookup table",lookup table,lookup table,lookup table
"Specifically, both the keys (number/names of stats) The interface here operates essentially as a Map<String,Object>.",,"STRING, stats",,,
syr2 performs a rank-2 update of an n-by-n symmetric matrix a: a := alpha*x*y' + alpha*y*x' + a.,"<rank-2>, <symmetric matrix>","rank-2 update, syr2, n - by - n symmetric matrix",symmetric matrix,symmetric matrix,symmetric matrix
rates: A tensor of shape [batch_size] containing the resampling rates for each input.,"<resampling, Resampling>","resampling, INPUT, tensor of shape",resampling,tensor,resampling;tensor;
return Number of classes excluded from the average recall.,"<Average recall, average recall>","Average recall, CLASSES, average recall",average recall,average recall,average recall
Math is: _x > _y ?,,,,,
Defined in tensorflow/python/ops/check_ops.py.,"<Tensorflow, tensorflow>","TENSORFLOW, tensorflow",,,
Args: sess: A Session to use to save the variables.,,"VARIABLES, args, USE",session,session,session
Simple helper class to redirect legacy JSON format to LegacyGraphVertexDeserializer via annotation on GraphVertex.,,"Simple helper class, graphvertex, legacy JSON format",,,
Let's use a Classification Cross-Entropy loss and SGD with momentum.,"<Entropy loss, entropy los, entropy loss>, <stochastic gradient descent, SGD, sgd, Stochastic Gradient Descent>","Classification Cross - Entropy loss, SGD, sgd, USE",Classification Cross-Entropy loss;SGD,Cross-Entropy loss;SGD,Cross-Entropy loss;SGD;momentum
"In contrast, ``biject_to(constraints.simplex)`` returns a :class:`~torch.distributions.transforms.StickBreakingTransform` that bijects its input down to a one-fewer-dimensional space; this a more expensive less numerically stable transform but is needed for algorithms The ``biject_to`` and ``transform_to`` objects can be extended by user-defined constraints and transforms using their ``.register()`` method either as a function on singleton constraints:: transform_to.register(my_constraint, my_transform) or as a decorator on parameterized constraints:: @transform_to.register(MyConstraintClass) def my_factory(constraint): assert isinstance(constraint, MyConstraintClass) You can create your own registry by creating a new :class:`ConstraintRegistry` object.","<def, defs, defun>, <dimensional space>","METHOD, BY, EXTENDED, expensive less numerically stable transform, NEW, AND, FUNCTION, def, OR, one - fewer - dimensional space, THIS, DECORATOR, stickbreakingtransform, INPUT",,,
"The op_def_pb2.OpDef proto that describes the Raises: TypeError: if control inputs are not Operations or Tensors, or if node_def is not a NodeDef, or if g is not a Graph, or if inputs are not tensors, or if inputs and input_types are incompatible.","<proto, protos>, <control input, control inputs>","typeerror, GRAPH, NOT, INPUTS, OR, nodedef",tensor,tensor,tensor
"As Dot, but allows contracting and batch dimension numbers to be specified for both the 'lhs' and 'rhs'.","<batch dimensions, batch dimension>, <DOT, dot>","AND, RHS, DOT",batch dimension,batch dimension,batch dimension
"__CODE__ will return a different output everytime it is invoked, the compiled function compiled = tf.contrib.eager.defun(add_noise) will return the same value every time it is called, since a particular random offset generated by NumPy will be inserted into the graph as a TensorFlow constant.","<Tensorflow, tensorflow>, <Numpy, numpy>","SAME, CODE, every time, BY, GRAPH, different output, TensorFlow constant, random offset, compiled function, IT",NumPy;Tensorflow,NumPy;Tensorflow,NumPy;Tensorflow
In Colab: Runtime > Change runtime type > Hardware acclerator > GPU.,"<colab, Colab>, <GPUS, Gpu, GPUs, gpus, gpu, GPU>","gpu, runtime type, runtime, colab, GPU",hardware acclerator;GPU,hardware acclerator;GPU,hardware acclerator;GPU
"ptrblck 2018-03-25 21:22:44 UTC #6 Maybe it hangs, because of the blocking statement and using data parallel.","<ptrblck>, <data parallel, Data Parallel, Data parallel>","Data parallel, blocking statement, ptrblck, UTC, IT",data parallel,data parallel,data parallel
"Basic implementation for ModelUtils interface, suited for standalone use.",,"basic implementation, standalone use, Basic implementation, ModelUtils interface",,,
Raises: ValueError: if FeatureColumn cannot be used for linear predictions.,"<linear predictions, linear prediction>","valueerror, featurecolumn, NOT",linear prediction,linear prediction,linear prediction
"The following example uses the functional API to build a simple, fully-connected network: Model subclassing.","<connected Network, connected network>","Model subclassing, BUILD, following example, Functional api, functional api, model subclassing",,API,fully-connected network
"If one, the latest single value is cached.",,latest single value,,,
Defined in tensorflow/contrib/model_pruning/python/pruning.py.,"<Tensorflow, tensorflow>, <Contrib, contrib>","TENSORFLOW, tensorflow, contrib",,,
Is a feature relevant to the problem you want to solve or will it introduce bias?,,"OR, IT",bias,bias;feature,bias;feature
Example: Note that only tensors with real or complex dtypes are differentiable.,"<dtypes, dtype>","OR, NOTE, TENSORS",tensor;dtype,tensor;dtype,tensor;dtype
"The total unpartitioned shape should be [e_0, e_1, ..., e_m], where e_0 represents the vocab size and e_1, ..., e_m are the embedding dimensions.","<embedding dimension, embedding dimensions>, <unpartitioned shape>","embedding, vocab size, total unpartitioned shape",unpartitioned shape;embedding dimension;,unpartitioned shape;embedding dimension;,unpartitioned shape;embedding dimension;
*args: The args to be substituted into the msg.,,args,,,
"The maximum number of minibatches in the top queue, and also the maximum number of elements within each bucket.",<top queue>,"minibatches, AND, top queue, maximum number, Maximum number",minibatch;top queue,minibatch;top queue,minibatch;top queue
"A simple class for storing configurations, parameters and updaters in one class (so they can be broadcast together).","<updater, updaters>","simple class, AND, BROADCAST, Simple class, One class, one class",,,
"(With asynchronous execution, such an error isn't reported until after the operation is actually executed, so the stack trace does not show where it was As an exception, several functions such as :meth:`~torch.Tensor.to` and :meth:`~torch.Tensor.copy_` admit an explicit :attr:`non_blocking` argument, Another exception is CUDA streams, explained below.","<cuda, Cuda, CUDA>","EXCEPTION, NOT, AND, CUDA, cuda, asynchronous execution, Another exception, stack trace, another exception, IT, ERROR",CUDA,CUDA,CUDA
assert_less_equal(...): Assert the condition x <= y holds element-wise.,,,,,
potrf = LU factorization of a positive definite matrix (PO) into a lower L ( or upper U ) triangular matrix.,"<triangular matrices, triangular matrice, Triangular matrix, triangular matrix>, <positive definite>, <potrf, potr, potrs, pstrf>","potrf, LU factorization, OR, positive definite matrix, triangular matrix, PO",LU factorization;triangular matrix;positive definite matrix; PO;potrf;,LU factorization;triangular matrix;positive definite matrix; PO;potrf;,LU factorization;triangular matrix;positive definite matrix; PO;potrf;
"(Note that in some cases, like basic RNN cell or GRU cell, outputs and states can be the same.","<rnn cell, RNN cell>,<GRU cell, gru cell>","SAME, gru cell, NOTE, AND, GRU cell, basic RNN cell",RNN cell;GRU cell;,RNN cell;GRU cell;,RNN cell;GRU cell;
The dividend and divisor may contain both for integer and floating point numbers.,,AND,,,
contrib module: contrib module containing volatile or experimental code.,"<Contrib, contrib>","contrib module, volatile or experimental code",,,
Early stopping is one mechanism used to manually set the number of epochs to prevent underfitting and overfitting.,"<Early stopping, Early Stopping, early stopping>, <Overfitting, overfitting, overfit>","Early stopping, one mechanism, number of epochs, overfitting, early stopping, underfitting",early stopping,early stopping;underfitting;overfitting,early stopping;underfitting;overfitting
Neda (Neda) 2019-01-15 14:52:26 UTC #3 thank you for the comment.,,"UTC, neda",,,
serialize_tensor(...): Transforms a Tensor into a serialized TensorProto proto.,"<proto, protos>",serialized TensorProto proto,proto,tensor,tensor;proto;
"Once eager execution is enabled, it cannot be disabled within the same program.",,"SAME, eager execution, NOT, IT, Eager execution",,,
Creates a Bijector from callables.,,bijector,,,
shiretzet (shir gur) 2018-04-23 15:20:58 UTC #17 Works fine with 0.5.0a0+3b63be0.,,"UTC, shiretzet",,,
"If you just want to get a DL4J app running on your device, you can jump ahead to a simple demo application which trains a neural network for Iris flower classification available here.","<Neural network, Neural net, Neural networks, NN, neural network, neural networks, neural nets, Neural Network, neural net, Neural Networks, nn, Neural Net>","Iris flower classification, simple demo application, Neural network, DL4J app, neural network, DEVICE",neural network;DL4J,neural network;DL4J,neural network;DL4J
This method may be used to iterate over the constants as follows: for (Join.JoinType c : Join.JoinType.values()) System.out.println(c);.,,"JoinType c, THIS",,,
Check out the printed model to see how the generator object is structured.,,"generator object, printed model",,,
Protobuf type tensorflow.GraphTransferInfo.GraphInputNodeInfo.,"<Tensorflow, tensorflow>, <protobuf>","graphinputnodeinfo, Protobuf type tensorflow, graphtransferinfo",protobuf,protobuf,protobuf
Sets a token pre processor to be used with every tokenizer.,"<tokenizer, tokenizers>, <pre proces, pre processor, pre process>","token pre processor, every tokenizer",tokenizer;pre processor;,tokenizer;pre processor;,tokenizer;pre processor;
class RMSPropOptimizer: Optimizer that implements the RMSProp algorithm.,"<Optimizer, optimizer, optimiser, Optimizers, optimizers, optim>, <rmsprop, RMS, rm>","rmsprop, optimizer, class rmspropoptimizer",Optimizer;RMSProp,"Optimizer,RMSProp",Optimizer;RMSProp
Setup and Dependencies.,,AND,,,
Returns an Op that asserts this operator is positive definite.,"<positive definite>, <op, one prediction, Op>","THIS, op, OP",positive definite,Op,Op;positive definite
"The load operation requires the session in which to restore the graph definition and variables, the tags used to identify the meta graph def to load and the location of the SavedModel.","<def, defs, defun>, <load operation>","meta graph def, load operation, AND, savedmodel, VARIABLES, graph definition",load operation,load operation,load operation
"DrerD 2018-05-16 17:15:05 UTC #3 sorry, I should say I am trying to find the actor gradient.",<actor gradient>,"UTC, drerd, actor gradient",actor gradient,actor gradient,actor gradient
"Now, in order to make the content loss layer transparent we must define a forward method that computes the content loss and then returns the layer's input.","<Content Loss, content los>","layer 's input, content loss, forward method",content loss layer;,content loss,content loss;
Get the convolution singleton.,,convolution singleton,convolution singleton,convolution,convolution singleton
"Finally, predict some housing prices using data in the testing set: __CODE__ Conclusion.",,"CODE, PREDICT, testing set",,,
No effect when executing eagerly (restore operations are run eagerly).,,,,,
A source/target misclassification means the adversary wants to alter an image that is originally of a specific source class so that it is classified as a specific target class.,,"misclassification, specific source class, IT, SOURCE, specific target class",source/target misclassification,source/target misclassification,source/target misclassification
Any help is appreciated.,,,,,
"For this tutorial, since we are only using the STL-10 dataset, this is plenty of storage.","<Dataset, Datasets, dataset, datasets, data set, Data set>","STL-10 dataset, THIS, plenty of storage",STL-10 dataset,STL-10,STL-10 dataset
"Now that you know how to build a basic (and somewhat restricted) op and implementation, we'll look at some of the more complicated things you will Conditional checks and validation.","<op, one prediction, Op>","conditional, AND, BUILD, op, OP, IMPLEMENTATION",,,
"For this tutorial, we will classify digits in EMNIST, the ""next generation"" of MNIST and a larger dataset.","<mnist, MNIST>, <Dataset, Datasets, dataset, datasets, data set, Data set>","emnist, Larger dataset, mnist, THIS, larger dataset, EMNIST, MNIST",EMNIST;MNIST,EMNIST;MNIST;dataset;,EMNIST;MNIST;dataset;
"In particular, the RecordReaderMultiDataSetIterator provides the following functionality: Multiple DataVec RecordReaders may be used simultaneously.",,"Multiple DataVec recordreaders, following functionality, recordreadermultidatasetiterator",,,
Loss function and optimizer.,"<Optimizer, optimizer, optimiser, Optimizers, optimizers, optim>, <loss function, Loss functions, loss functions, Loss function, Loss Function, Loss Functions>","Loss function, optimizer, loss function",loss function;optimizer;,loss function;optimizer,loss function;optimizer;
"Expecting parameter: {} "" ""to be a torch.Tensor type"".format(param_name)) def _check_tensor_list(param, param_name): """""" Helper that check the parameter: param_name is a Tensor list """""" wrong_type = False if isinstance(param, list): for p in param: if not isinstance(p, torch.Tensor): wrong_type = True break else: wrong_type = True if wrong_type: raise RuntimeError(""Invalid function argument.","<tensor list>, <def, defs, defun>, <Parametrized, parametrized, param>","param, tensor list, NOT, FALSE, def, True break, Tensor list, function argument",,,
The depth index containing the 1 is that of the maximum logit value.,<logit>,"maximum logit value, depth index",depth index,logit,depth index;logit
Please let us know if you hit any issues or want to give feedback.,,"PLEASE, ISSUES",,,
The maximum scalar values for each of the input tensors.,"<Input tensors, input tensors, inputs tensors, input tensor, inputs tensor, inputs Tensors, input Tensor, Input tensor, input Tensors, Input Tensor>, <scalar value, Scalar Value, scalar values, scalar valued, Scalar value>","VALUES, MAXIMUM, INPUT",scalar value;input tensor,tensor,scalar value;input tensor
"For configuring dependencies for Spark jobs, see the uber-jar section above.",,"SPARK, uber - jar section",configuring dependency;Spark,Spark,Spark
">>> from setuptools import setup >>> from torch.utils.cpp_extension import BuildExtension, CppExtension >>> setup( name='extension', ext_modules=[ CppExtension( name='extension', sources=['extension.cpp'], extra_compile_args=['-g'])), ], cmdclass={ 'build_ext': BuildExtension }) Creates a setuptools.Extension for CUDA/C++.","<cuda, Cuda, CUDA>","setuptools, setuptools import setup, buildextension, CUDA, import buildextension, cuda, cppextension",CUDA,CUDA,CUDA
Description copied from interface: StatusListener.,,statuslistener,,,
SimonW (Simon Wang) 2018-02-11 03:06:58 UTC #7 @pytorcher You are probably using an older version of pytorch then.,"<pytorch, Pytorch>","Simon wang, pytorch, older version, simonw, UTC",pytorch,pytorch,pytorch
Workspace for working memory for a single layer: forward pass and backward pass Use output(INDArray).,"<Single Layer, single layer>","Working memory, single layer, backward pass, forward pass, working memory",single layer;forward pass;backward pass;,single layer;forward pass;backward pass;,single layer;forward pass;backward pass;
tf.train.Saver.save) could potentially raise this exception if an explicit filename for an existing file was passed.,,"explicit filename, PASSED, THIS, existing file",,,
state: RNNCell state (possibly nested tuple of) tensor[s] from previous time step.,"<nested tuple>, <time step, time steps, Time step>","nested tuple, previous time step, Nested tuple, RNNCell state",time step,time step,tensor;time step
Returns a labeled point of the writables where the final item is the point and the rest of the items are features.,<labeled point>,"final item, AND, REST, labeled point, writables",labeled point,labeled point,labeled point
Bot: no .,,,,,
Shortcuts Source code for torch.optim.optimizer.,,Shortcuts Source code,,,
"taiky (taiky) 2018-03-12 03:06:54 UTC #18 Finally, I finished the training procedure successfully!",<training procedure>,"UTC, taiky, training procedure",training procedure,training procedure,training procedure
set_floatx(...): Sets the default float type.,"<float types, floating type, float type>",default float type,,,
Note that multiple different modes are supported - these specify how the activations should be combined from READ THIS FIRST Bdirectional LSTM layer implementation.,"<lstm, LSTM, LSTMs>","NOTE, ACTIVATIONS, READ THIS FIRST Bdirectional LSTM layer implementation",Bdirectional LSTM,LSTM,LSTM;activation;
Add function used for undertaking quality analysis of a data set via Spark.,,"SPARK, FUNCTION, data set, quality analysis",Spark,Spark,Spark
It has a slightly higher overhead (need to count the number of values in each partition) but should be less prone to random sampling variance than the SparkDefault strategy.,"<random sampling, Random sampling, random sample>","Random sampling, VALUES, random sampling, SparkDefault strategy, IT, slightly higher overhead",random sampling,random sampling,random sampling
"CIFAR-10 weights for this model are available and have been converted using ""approach 2"" from __URL__.",,"AND, THIS, cifar-10",CIFAR-10 weights,,CIFAR-10 weights
CifarDataSetIterator is an iterator for Cifar10 dataset explicitly There is a special preProcessor used to normalize the dataset based on Sergey Zagoruyko example https://github.com/szagoruyko/cifar.torch.,"<cifar10>, <preprocessing, Preprocessed, Preprocess, Preprocessing, preproces, preprocessor, preprocessed, preprocessors, preprocess>","special preprocessor, cifardatasetiterator, Sergey Zagoruyko example, Cifar10 dataset, dataset, iterator, CIFAR10 dataset",,,Cifar10;preProcessor
Appropriate for embeddings or as efficient storage before being expanded StringMapTransform.,"<Embeddings, embeddings, embedding>","embeddings, efficient storage",embeddings,embeddings,embeddings
"A CUDA stream is a linear sequence of execution that belongs to a specific device, independent from other streams.","<cuda, Cuda, CUDA>","other, linear sequence of execution, specific device, CUDA stream",CUDA stream,CUDA,CUDA
PyTorch Forums How to customize activation function of torchvision model(resnet18)?,"<activation function, Activation functions, activation functions, Activation function, Activation Functions>, <pytorch, Pytorch>","torchvision, PyTorch forums, customize activation function",activation function,"PyTorch,resnet18",activation function;PyTorch;resnet18
"This method should be called from Iterator's reset() method, to keep labels in sync with iterator.",,"Iterator 's reset, THIS, METHOD, iterator",,,
Main class for training MultiLayerNetwork networks using Spark.,,"Main class, main class, SPARK, multilayernetwork",Spark,Spark,Spark
"Weight updates (for instance, the updates of the moving mean and variance in a BatchNormalization layer) may be dependent on the inputs passed when calling a layer.","<moving mean>, <weight updates, weight update, Weight updates>","INPUTS, BatchNormalization layer, moving mean",Weight update,Weight update,Weight update
MetricSpec connects a model to metric functions.,"<metric function, metric functions>",metricspec,metric functions,metric functions,metric functions
"If more than one such registered method exists, the method whose registered classes have the shortest sum MRO paths to the input types is used.","<sum, SUM, summand>","METHOD, one such registered method, CLASSES, SUM, INPUT",,MRO,
This method may be used to iterate over the constants as follows: for (VersionCheck.Detail c : VersionCheck.Detail.values()) System.out.println(c);.,,"THIS, versioncheck",,,
images is a tensor of at least 3 dimensions.,,,image,tensor,
"Specifically, it contains names f or each column, as well as details of types (Integer, String, Long, Double, etc).",,"etc, OR, DOUBLE, STRING, IT",,,
The probability function is.,"<probability function, probability functions>","Probability function, probability function",probability function,probability function,probability function
Close the database.,"<Dataset, Datasets, dataset, datasets, data set, Data set>",,,,
One could use it to add a bias or as part of some other calculation.,,"OR, other, USE",,,
string device = 4;.,,string device,,,
"N-dimensional (where N > 2), then a batched matrix multiply is returned.","<Matrix multiply, matrix multiply, matrix multiplies, matrix multiplie>",batched matrix multiply,matrix multiply,matrix multiply,matrix multiply
autoclass:: torch.optim.lr_scheduler.ExponentialLR :members: ..,,autoclass,,,
"The variables to restore do not have to have been initialized, as restoring is itself a way to initialize variables.",,"WAY, NOT, VARIABLES",,,
verbose: 0 or 1.,,OR,,,
"Then, I use the gdb to attach the hanged process.","<hanged proces, hanged process>","hanged process, USE, gdb",hanged process,hanged process,hanged process
Pytorch's LSTM expects all of its inputs to be 3D tensors.,"<pytorch, Pytorch>, <lstm, LSTM, LSTMs>","3d, INPUTS, Pytorch 's lstm",Pytorch;LSTM,"PyTorch,LSTM",Pytorch;LSTM
random_shuffle(...): Randomly shuffles a tensor along its first dimension.,"<Tensor along, Tensor Along, tensor along>","first dimension, First dimension",,,
This means that any changes you may have made to the Dataset graph will be discarded as well!,,"Dataset graph, THIS, MADE",,,
automethod:: cos_ ..,,,,,
"This method frees specific chunk of memory, described by AllocationPoint passed in.",,"PASSED, THIS, BY, specific chunk of memory",,AllocationPoint,
"Values are merged in order, so if an index appears in both indices[m][i] and indices[n][j] for (m,i) < (n,j) the slice data[n][j] will appear in the merged result.",<merged result>,"INDEX, AND, VALUES, merged result",,,
align_corners: An optional bool.,"<bool, bools, Bool>","optional bool, Optional bool",,,
This method returns registered Op by name.,"<op, one prediction, Op>","THIS, op, NAME, OP",,Op,Op
Returns the number of rows in this matrix (throws exception if not 2d).,,"NOT, THIS, EXCEPTION",,,
real_label: The value that the generator is trying to get the discriminator to output on generated data.,,VALUE,,,
"Input arrays: 0: n - define derivative order (n+1), type integer (however currently is implemented as float casted to integer) Output array: Two input and one output arrays have the same shape.","<output array, output arrays, Output array, Output arrays, outputs array>, <input array, input arrays, inputs array, Input arrays>","SAME, derivative order, FLOAT, output array, Two input, type integer, two input, one output, INPUT, Output array",Input array;Output array,Input array;Output array,Input array;Output array
"show_dataflow: bool, if True, add flow events to the trace connecting producers and consumers of tensors.","<bool, bools, Bool>","BOOL, bool, AND, TENSORS",,,
"This method marks given DataBuffer as actual in specific location (either host, device, or both).",,"OR, THIS, specific location, DEVICE, given databuffer, either host",,,
uniform_candidate_sampler(...): Samples a set of classes using a uniform base distribution.,"<base distribution, Base distribution>","uniform base distribution, CLASSES",,,
Parameter values leading to undefined statistics or distributions.,,"OR, UNDEFINED, VALUES",,,
autofunction:: checkpoint ..,,autofunction,,,
"Output: \((N, C_{out}, L_{out})\) where \[L_{out} = \left\lfloor\frac{L_{in} + 2 \times \text{padding} - \text{dilation} \times (\text{kernel\_size} - 1) - 1}{\text{stride}} + 1\right\rfloor \].",,,,,
Does not properly trigger the incrementing of epoch counts in MultiLayerNetwork/ComputationGraph.,,"computationgraph, incrementing, multilayernetwork, NOT",,,
"Wide (aka linear) models (LinearClassifier, LinearRegressor).",<aka linear>,"aka, linearclassifier, linearregressor, AKA",,,
"Each torch.Tensor has a torch.dtype, torch.device, and torch.layout.",,AND,,,
__TABLE__ See torch.cos().,,TABLE,,,
Parses a number of serialized Example protos given in serialized.,"<proto, protos>",Example protos,,,
PLEASE NOTE: Order synchro between labels and input documents delegated to end-user.,,"AND, Order synchro, end - user, PLEASE note",Order synchro,,
"Without this call, the dequeue op associated with the SQSS will not run.","<sqs, SQSS>, <op, one prediction, Op>, <Dequeue, dequeue>","SQSS, NOT, THIS, dequeue op, sqss",SQSS,SQSS;depueue;op,SQSS;depueue;op
This option means you'll provide own Transport interface implementation via VoidParameterServer.init() method.,,"THIS, METHOD, Transport interface implementation",,,
Only used Properties.,,,,,
"After predicting the next word, the modified hidden states are again fed back into the model, which is how it learns as it gets more context from the previously predicted words.","<hidden states, hidden state>","IT, next word",hidden states,hidden states,hidden states
Computes the QR decompositions of one or more matrices.,"<QR, qr>","OR, QR, qr",QR,,QR
We will ultimately use a ComputationGraph since we will have multiple inputs to the network.,"<multiple inputs, multiple input, Multiple inputs, Multiple Inputs>","computationgraph, Multiple inputs, multiple inputs, USE",,,
Graves et al.: Connectionist Temporal Classification: Labelling Unsegmented Sequence Data with Recurrent Neural Networks: __URL__ ..,"<Recurrent Neural Networks, recurrent neural network, recurrent neural networks, rnn, Rnn, RNN, RNNs, Recurrent neural networks>, <Connectionist Temporal Classification, connectionist temporal classification>","Labelling Unsegmented Sequence data, et al, Recurrent Neural networks, URL, Connectionist Temporal classification",Connectionist Temporal Classification;Recurrent Neural Networks,Recurrent Neural Networks,Connectionist Temporal Classification;Recurrent Neural Networks
config: an instance of tf.ConfigProto proto used to configure the session.,"<proto, protos>, <configs, configuraiton, config>, <tensor filter, Tf, tf, TF>","config, tf, TF, ConfigProto proto",,,
Maybe not just yet.,,NOT,,,
"You need to call this to getFromOrigin a new dataset, otherwise DataSetFetcher.next() just returns the last data applyTransformToDestination fetch.",,"last data applyTransformToDestination fetch, THIS, new dataset",,,
"audio andreiliphd (Andrei Li) 2018-11-05 13:04:30 UTC #1 LSTM is expecting (seq_len, batch, input_size) but when I do that PyTorch throws an error: __CODE__ 20 is seq_len and 27 is batch_size.","<pytorch, Pytorch>, <lstm, LSTM, LSTMs>","CODE, AND, pytorch, Andrei li, lstm, LSTM, audio andreiliphd, UTC, ERROR",LSTM;PyTorch,"LSTM,PyTorch",LSTM;PyTorch
Initializes a DNNLinearCombinedClassifier instance.,,DNNLinearCombinedClassifier instance,,,
"last_hidden: final hidden layer of GRU; shape=(n_layers x num_directions, batch_size, hidden_size).","<Hidden Layers, hidden layer, Hidden layers, hidden layers>, <Gated Recurrent Unit, gated recurrent unit, gated Recurrent Unit, gru, GRU>","GRU, gru, final hidden layer",hidden layer;GRU,hidden layer;GRU,hidden layer;GRU
As with other types of neural networks,"<Neural network, Neural net, Neural networks, NN, neural network, neural networks, neural nets, Neural Network, neural net, Neural Networks, nn, Neural Net>","other, Neural networks",neural networks,neural networks,neural networks
"An nn.Module contains layers, and a method forward(input)that returns the output.","<Neural network, Neural net, Neural networks, NN, neural network, neural networks, neural nets, Neural Network, neural net, Neural Networks, nn, Neural Net>","NN, AND, METHOD, nn",,,
decode_video(...): Create an op that decodes the contents of a video file.,"<op, one prediction, Op>","op, OP, video file",,,
What is a DCGAN?,<DCGAN>,,DCGAN,DCGAN,DCGAN
Takes in just a classification matrix and initializes the labels to just be indices.,<classification matrix>,classification matrix,classification matrix,classification matrix,classification matrix
This allows for flexibility as you seek a combination of optimizer and updater that works best for your data and problem.,"<updater, updaters>, <Optimizer, optimizer, optimiser, Optimizers, optimizers, optim>","AND, updater, THIS, combination of optimizer",optimizer,optimizer,optimizer
"D, H and W can be either a ``int``, or ``None`` which means the size will be the same as that of the input.",,"SAME, INT, NONE, AND, OR, int, INPUT",,,
Broadcast not equal to op.,"<op, one prediction, Op>","BROADCAST, op, OP",op,op,op
class ResourceExhaustedError: Some resource has been exhausted.,,class resourceexhaustederror,,,
Cookies are small files that a site or its service provider transfers to your computer's hard drive through your Web browser (if you allow).,,"OR, Web browser, computer 's hard drive, web browser",,,
"Finally, if activation_fn is not None, it is applied to the activations as well.",,"NOT, ACTIVATIONS, IT",,activations,activations
The first argument is the label for the layer,,"first argument, LABEL",,,
"# Grab a batch of real images from the dataloader real_batch = next(iter(dataloader)) # Plot the real images plt.figure(figsize=(15,15)) plt.subplot(1,2,1) plt.axis(""off"") plt.title(""Real Images"") plt.imshow(np.transpose(vutils.make_grid(real_batch[0].to(device)[:64], padding=5, normalize=True).cpu(),(1,2,0))) # Plot the fake images from the last epoch plt.subplot(1,2,2) plt.axis(""off"") plt.title(""Fake Images"") plt.imshow(np.transpose(img_list[-1],(1,2,0))) plt.show() ../_images/sphx_glr_dcgan_faces_tutorial_004.png Where to Go Next.","<fake images, Fake images, fake image>, <real images, Real images, real image, Real Images>","last epoch, dataloader",real images;fake images;epoch,real images;fake images;epoch,real images;fake images;epoch
"check_shapes: If True, check that generator produces Tensors that are the Returns: A ACGANModel namedtuple.",,"acganmodel, TENSORS",,,
"If you want to just use the environment variable, don't define the system property.",,"system property, environment variable, USE, System property",,,
"As a general rule, you should use DataSet/DataSetIterator, unless you are dealing with multiple inputs and/or multiple outputs.","<multiple inputs, multiple input, Multiple inputs, Multiple Inputs>, <multiple output, multiple outputs, Multiple outputs>, <Dataset, Datasets, dataset, datasets, data set, Data set>","multiple inputs, USE, UNLESS, datasetiterator, general rule, Multiple inputs",multiple outputs;multiple input;Dataset,multiple outputs;multiple input;Dataset,multiple outputs;multiple input;Dataset
The latter may be supplied to tf.image.draw_bounding_boxes to visualize what the bounding box looks like.,"<Bounding Boxes, bounding boxes, Bounding boxes, bounding box, bounding boxe>","Bounding box, bounding box",bounding box,bounding box,bounding box
This method may be used to iterate over the constants as follows: for (ArrayType c : ArrayType.values()) System.out.println(c);.,,"ArrayType c, THIS",,,
